u03,u17,u16,u02,u14,u00,u01,u15,u05,u39,u04,u10,u12,u13,u07,u49,u59,u58,u41,u54,u56,u42,u43,u57,u53,u47,u46,u52,u44,u50,u51,u45,u22,u36,u23,u09,u35,u20,u34,u08,u30,u24,u18,u19,u25,u31,u27,u33,u32
60.207,74.807,39.188,49.634,44.474,14.351,36.454,29.117,37.747,60.437,39.365,53.653,62.053,182.256,69.763,62.857,84.677,58.736,49.316,19.761,42.058,103.091,20.589,139.805,149.719,29.553,41.434,889.271,65.508,140.565,59.168,60.877,73.349,63.32,46.471,59.461,46.611,60.832,48.203,56.374,32.454,29.404,47.672,67.311,33.146,43.822,30.285,39.947,51.431
6821.45,15728.25,8722.955,15048.091,14767.619,20277.727,7841.048,9134.1,10706.8,3650.4,20384.95,10748.571,25302.2,41297.455,30193.5,22965.107,27778.15,19030.5,10181.35,6135.85,13101.2,31540.6,9712.095,28505.286,35303.8,7145.632,17613.476,151418.545,11217.524,18210.25,18445.087,24780.05,20380.1,45790.05,6278.2,23139.3,12160.7,11013.55,13402.75,13321.522,44151.05,6052.75,12406.048,18625.0,12628.8,14463.174,4968.25,9193.429,28294.55
26.032,23.332,6.776,19.274,21.348,12.798,18.073,18.573,13.309,13.742,12.302,9.73,20.52,23.651,16.038,17.891,13.905,22.035,10.053,14.446,16.446,33.695,17.639,12.678,15.285,9.113,18.466,12.37,12.86,22.184,23.597,17.404,22.529,21.283,20.429,10.82,24.666,16.362,19.714,10.003,10.813,18.787,11.511,14.632,19.027,26.107,9.76,14.987,8.776
20.489,32.01,16.483,17.128,17.754,18.05,14.452,16.641,17.984,5.121,18.744,27.651,18.057,24.374,18.903,22.491,17.125,22.077,22.087,18.828,15.547,17.371,19.863,18.518,21.951,17.362,25.351,16.025,9.759,28.38,22.94,13.8,27.161,19.194,23.578,15.825,11.248,25.238,11.632,23.719,20.145,15.635,20.07,20.29,15.399,17.14,24.155,19.648,15.061
53.479,44.659,76.741,63.597,60.897,69.152,67.475,64.786,68.707,81.136,68.953,62.62,61.423,51.975,65.06,59.618,68.97,55.887,67.86,66.726,68.007,48.934,62.497,68.805,62.764,73.525,56.183,71.605,77.381,49.436,53.462,68.796,50.309,59.523,55.993,73.354,64.086,58.4,68.655,66.278,69.042,65.578,68.419,65.078,65.574,56.753,66.085,65.365,76.163
