u45,u51,u50,u44,u52,u46,u47,u53,u57,u43,u42,u56,u54,u41,u32,u33,u27,u31,u25,u19,u18,u24,u30,u08,u34,u20,u35,u09,u23,u36,u22,u07,u13,u12,u10,u04,u39,u05,u15,u01,u00,u14,u02,u16,u17,u03,u58,u59,u49
18.682,89.768,118.218,34.413,26.596,31.315,31.928,37.627,81.992,11.692,16.332,15.667,9.988,53.494,51.759,14.482,14.639,34.54,56.144,26.291,49.525,21.864,48.24,18.432,15.268,20.134,35.701,17.089,34.663,242.767,9.28,20.916,319.44,11.358,14.93,7.33,37.681,65.364,9.666,15.47,7.396,49.756,19.773,23.972,15.426,17.759,12.393,13.994,156.593
183.424,758.449,902.4,346.281,491.721,718.114,331.821,302.949,1370.696,160.044,165.973,132.943,208.78,1262.457,1038.976,164.412,353.545,330.6,932.333,478.366,752.5,244.276,1234.772,420.93,169.0,231.829,362.424,329.571,327.37,2378.222,159.933,199.152,3587.042,152.295,459.429,160.304,147.583,1320.356,150.361,218.133,135.593,944.209,447.238,376.812,246.439,116.917,95.289,205.867,3839.792
18.272,23.574,16.482,21.18,6.853,13.068,13.54,5.933,3.037,11.65,27.194,2.772,9.801,13.755,18.024,14.955,15.18,16.023,7.801,16.642,6.873,7.256,9.816,20.11,20.445,2.835,12.651,14.918,6.539,16.521,7.712,3.395,13.027,7.939,5.821,11.73,24.619,18.298,10.715,15.449,8.809,34.526,11.494,22.599,8.888,6.023,7.183,1.403,34.811
23.344,24.012,17.472,18.654,12.254,34.051,27.317,19.272,10.691,26.826,29.474,25.317,23.703,29.881,19.841,29.177,22.079,22.479,18.757,24.902,23.987,20.059,23.029,23.685,27.015,10.919,14.758,19.679,14.017,20.87,21.738,13.907,18.266,18.52,24.241,20.532,16.431,28.686,29.614,20.782,24.379,19.822,17.568,27.102,21.694,15.289,23.834,0.658,18.194
58.384,52.414,66.046,60.166,80.893,52.882,59.143,74.795,86.272,61.525,43.332,71.911,66.495,56.364,62.134,55.868,62.741,61.499,73.442,58.456,69.14,72.685,67.155,56.204,52.54,86.246,72.592,65.402,79.443,62.609,70.55,82.698,68.707,73.541,69.938,67.738,58.95,53.016,59.671,63.768,66.812,45.652,70.938,50.299,69.418,78.689,68.983,97.938,46.995
