u09,u35,u20,u34,u08,u22,u36,u23,u27,u33,u32,u30,u24,u18,u19,u25,u31,u56,u42,u43,u57,u41,u54,u44,u50,u51,u45,u53,u47,u46,u52,u49,u59,u58,u14,u00,u01,u15,u03,u17,u16,u02,u12,u13,u07,u05,u39,u04,u10
0.1086,0.0781,0.0671,0.0349,0.0498,0.1049,0.1156,0.2083,0.0563,0.063,0.121,0.1146,0.0637,0.0756,0.0608,0.0561,0.0506,0.0724,0.0556,0.0501,0.0513,0.0364,0.0571,0.0857,0.078,0.1535,0.0767,0.118,0.0447,0.0316,0.1443,0.0923,0.0321,0.1438,0.1145,0.1283,0.1227,0.0292,0.046,0.1015,0.1127,0.0384,0.1609,0.0653,0.0799,0.0824,0.0082,0.1228,0.1102
0.2271,0.046,0.0805,0.017,0.2017,0.1992,0.2828,0.0526,0.1259,0.1746,0.1935,0.2236,0.0975,0.1174,0.2831,0.0455,0.1089,0.0997,0.0686,0.164,0.2473,0.0714,0.1122,0.1523,0.0488,0.2616,0.1023,0.1754,0.0683,0.1505,0.1951,0.1076,0.1485,0.2216,0.1746,0.1119,0.1898,0.0444,0.1022,0.1695,0.1388,0.1745,0.2025,0.1703,0.1688,0.1502,0.0,0.2306,0.1891
0.0534,0.0055,0.0137,0.0,0.0666,0.007,0.0191,0.0513,0.0283,0.0445,0.0262,0.0528,0.0241,0.0453,0.0466,0.028,0.0606,0.0231,0.0223,0.0211,0.0517,0.0032,0.0347,0.0524,0.0072,0.0288,0.0728,0.0428,0.0089,0.0482,0.0607,0.0799,0.0252,0.0325,0.0248,0.0334,0.0246,0.0117,0.0259,0.0656,0.0364,0.0165,0.0603,0.0225,0.0264,0.0367,0.006,0.1047,0.0482
0.171,0.0963,0.0766,0.0382,0.0891,0.1226,0.1396,0.072,0.0697,0.0497,0.1625,0.1561,0.0562,0.1124,0.1085,0.0861,0.0602,0.1188,0.0582,0.1107,0.0879,0.0563,0.0446,0.1465,0.0694,0.2268,0.07,0.1662,0.047,0.0347,0.1095,0.1161,0.0565,0.1552,0.1095,0.0956,0.1958,0.0684,0.0876,0.1826,0.1576,0.0493,0.1252,0.0868,0.1339,0.146,0.0097,0.1454,0.1696
