u00,u01,u02,u03,u04,u05,u07,u08,u09,u10,u12,u13,u14,u15,u16,u17,u18,u19,u20,u22,u23,u24,u27,u30,u31,u32,u33,u34,u35,u36,u39,u42,u43,u44,u45,u46,u47,u49,u50,u51,u52,u53,u56,u57,u58,u59
46.5125,45.5,45.0,32.5,30.0,49.0,48.0,38.74390243902439,46.5,39.0,49.0,44.0,52.5,45.5,41.5,37.5,37.0,42.0,45.0,46.0,38.5,42.0,31.0,54.0,26.0,55.0,29.5,36.0,46.0,46.0,15.0,30.5,44.5,44.5,48.5,43.0,51.25030487804878,53.0,48.0,44.0125,35.5,49.5,47.0,50.0,51.0,46.5
31.5,28.5,25.5,27.5,30.5,32.5,23.0,30.0,30.0,38.0,42.0,13.0,38.0,31.5,17.5,29.0,16.5,32.5,27.0,26.0,28.547619047619047,24.0,21.0,34.0,25.5,35.0,22.5,26.0,23.5,32.0,20.0,30.0,31.5,30.0,27.0,32.5,34.5,36.101190476190474,25.0,25.0,33.0,30.5,25.5,35.0,28.0,35.5
28.398809523809526,18.0,14.0,23.5,16.5,22.0,19.0,26.0,11.5,24.0,18.0,21.0,27.5,25.0,26.5,27.0,31.5,18.5,19.5,15.0,25.476190476190474,16.5,20.5,27.0,27.0,14.5,31.0,12.0,13.5,15.0,10.0,25.0,19.5,16.5,20.5,26.5,21.0,17.0,13.178571428571429,13.0,37.0,17.0,12.0,12.0,15.0,25.0
