,Low strength of wifi level,Light duration during afternoon,Frequency of wifi,Light duration during evening,Phonelock duration during afternoon,High strength of wifi level,Wifi times of gps_network_type,Network times of gps provider,Phonecharge duration during morning,Phonelock duration during evening,Bluetooth class,Phonecharge duration during afternoon,Phonelock duration during night,Medium strength of bluetooth level,The frequency of changing building,High strength of bluetooth level,Medium strength of wifi level,Average duration of each conversation during night,Phonelock duration during morning,Daily average 1 ratio during night,Audio daily average 0 ratio,Total counts of bluetooth mac address,Daily average 2 ratio during night,Average bearing,Total counts of wifi-bssid address,Low strength of bluetooth level,Audio daily average 1 ratio,Daily average 0 ratio during day,Daily average unknown activity ratio during night,Daily average 0 ratio during night,Gps times of gps provider,Average duration of each long-time conversation(>10 mins),Average accuracy,Phonecharge duration during night,Average duration of each conversation,Average duration of each conversation during day,Daily average running ratio during day,Daily average 0 count during night,Audio 0 times count,Daily average 1 times during day,Audio 1 times count,Audio daily average 1 times,Daily average 2 times during day,Daily average 1 times during night,Light duration during night,Daily average unknown activity ratio during day,Audio daily average 2 times,Phonecharge duration during evening,Audio 2 times count,Daily average stationary ratio,Audio daily average 0 count,Light duration during morning,Daily average walking ratio during day,Daily average walking ratio,Daily average unknown activity ratio,Daily average 0 count during day,Daily average stationary ratio during night,Daily average running ratio,Daily average 1 ratio during day,Daily average 2 times during night,Positive
u12,20.52,0.173,25302.2,0.0358,0.2025,61.423,5812.0,6151.0,0.0993,0.0603,152.295,0.184,0.1252,18.52,78,73.541,18.057,651.3008306539683,0.1609,0.25632428305443306,0.5190132966937624,11.358,0.2384135321492912,4.17,62.053,7.939,0.23766483144643802,0.5341040681863697,0.026816347028188067,0.5052621847962759,396.0,1564.9767060367456,181.58,0.0195,556.3448502796973,505.00191536987916,0.008961392395200841,38598.10447761194,6200443.0,22963.611940298506,2906730.0,43384.02985074627,25314.716417910447,20420.417910447763,0.1338,0.025711594139168088,44024.71641791045,0.0202,2949656.0,0.924936708711796,92543.92537313432,0.1563,0.03691731787275252,0.038458131860939535,0.02618504371078121,53945.82089552238,0.91989582758811,0.01042011571648314,0.22074965098066412,18710.0,1.0
u13,23.651,0.2095,41297.455,0.0078,0.1703,51.975,5857.0,6006.0,0.0466,0.0225,3587.042,0.0278,0.0868,18.266,79,68.707,24.374,628.1610941755055,0.0653,0.24784287900461435,0.5350229594974601,319.44,0.22582288276471466,4.86,182.256,13.027,0.2362250122680423,0.5455567657615639,0.02691337610858767,0.5263342382306709,596.0,1520.2778229082046,95.9,0.0581,527.8815637065637,483.2374919160785,0.008887329095580897,51179.28358208955,8307019.0,30750.76119402985,3749015.0,55955.44776119403,30643.940298507467,25204.68656716418,0.0372,0.025745415563425102,53013.46268656717,0.0167,3551902.0,0.9253436379476886,123985.35820895525,0.0329,0.03646679721832827,0.0380651074137764,0.026240096056005986,72806.07462686568,0.9201629409523512,0.010351158582529229,0.2247927181302284,22369.5223880597,0.0
u14,21.348000000000006,0.1857,14767.619,0.0106,0.1746,60.897,3694.0,3694.0,0.029,0.0248,944.209,0.1192,0.1095,19.822,83,45.652,17.754,724.1918478800916,0.1145,0.2874232506741476,0.4989652817672818,49.756,0.24385369971078955,1.15,44.474,34.526,0.2674599889526945,0.5265907976902617,0.02654112838022234,0.4687230496150628,111.0,1687.31196400956,39.84,0.0372,648.2303226070245,586.1489291544318,0.00908070639566742,85064.14925373135,14041509.0,60064.13432835821,7607518.0,113545.0447761194,53098.13432835821,53480.91044776119,0.0569,0.02434810673625411,97135.94029850746,0.002,6508108.0,0.9247890901837368,209574.76119402985,0.0946,0.037198969710599016,0.03926892029139043,0.025266850082146474,124510.61194029848,0.9182027598218264,0.010675139442726385,0.2488838205757041,44037.805970149246,1.0
u15,18.573,0.0451,9134.1,0.0126,0.0444,64.786,1700.0,1698.0,0.0287,0.0117,150.361,0.0059,0.0684,29.614,77,59.67100000000001,16.641,681.496641336327,0.0292,0.2902564543226303,0.4986064507097821,9.666,0.2432086669424353,6.05,29.117,10.715,0.2695019763595597,0.5277264197664974,0.02704474392794678,0.4665348787349344,88.0,1628.227724781815,35.85,0.0178,598.5955818022748,536.8222360457708,0.00928077207078405,88719.79104477614,14669861.0,62973.9552238806,8020218.0,119704.74626865672,54699.13432835821,56730.79104477613,0.0448,0.02444646187647428,100767.10447761194,0.0038,6751396.0,0.923242873645248,218953.14925373133,0.0189,0.03724005498502368,0.040095077324380016,0.025535741214628555,130233.35820895525,0.9149922644552622,0.011126307815743102,0.25003058636186604,46067.97014925373,1.0
u16,6.776,0.0846,8722.955,0.0223,0.1388,76.741,5795.0,5795.0,0.0431,0.0364,376.812,0.0703,0.1576,27.102,86,50.299,16.483,671.3652746336884,0.1127,0.28297722292096583,0.5193484790392979,23.972,0.2222606174953029,1.63,39.188,22.599,0.26928718044812683,0.5406665620115033,0.026635788674178883,0.494762159583731,95.0,1627.756622926467,32.26,0.059,589.2235386017446,541.2990721806945,0.008736901942254167,125685.223880597,20732071.0,89263.89552238806,10925056.0,163060.53731343284,68986.02985074627,73796.64179104478,0.0915,0.02386852319122897,125321.28358208956,0.013,8396526.0,0.9253307165622436,309433.89552238805,0.0991,0.035836862184767566,0.039086794697582514,0.02503380542517092,183748.67164179106,0.9164892364384848,0.010548683315002857,0.2567317016148322,56335.253731343284,0.0
u17,23.332,0.1583,15728.25,0.0406,0.1695,44.659,6346.0,6346.0,0.0455,0.0656,246.439,0.0821,0.1826,21.694000000000006,74,69.418,32.01,672.7778913209997,0.1015,0.29195004869847496,0.5007104866027378,15.425999999999998,0.2348624962171103,0.91,74.807,8.888,0.2741889593927958,0.5252865101297769,0.0269736511376127,0.4731874550844149,54.0,1629.636466080685,36.79,0.04,592.2906671440505,538.1332442871652,0.008886019523582506,103505.98507462683,17037401.0,75993.34328358209,9501554.0,141814.23880597015,62425.208955223876,65820.89552238806,0.1856,0.02403610518965017,113728.37313432836,0.018000000000000002,7619801.0,0.9249598330067516,254289.5671641791,0.0975,0.03590972471643298,0.03907215922227613,0.02526989577228586,150783.58208955225,0.9161487999943893,0.010698111998686291,0.2577224047594188,51303.16417910448,0.0
u18,11.511,0.0937,12406.048,0.0055,0.1174,68.419,3412.0,3412.0,0.0433,0.0453,752.5,0.0603,0.1124,23.987,69,69.14,20.07,655.7300616729261,0.0756,0.2828464023368231,0.5142848499425465,49.525,0.21703108230447232,4.0,47.672,6.872999999999998,0.2761493071978252,0.5270868833104204,0.02644464339767997,0.5001225153587046,287.0,1671.239678005713,48.61,0.0474,602.2296169890028,558.0988193895797,0.009765083327983629,164051.7014925373,26898198.0,125196.89552238805,14797923.0,220864.52238805967,92628.88059701493,95667.62686567164,0.0916,0.026565583851372244,163666.37313432837,0.0054,10965647.0,0.920837405228096,401465.6417910448,0.0644,0.04097492658297722,0.041321646204090096,0.02652187750947631,237413.94029850746,0.9179687335241379,0.011319071058337543,0.26929816593780764,71037.49253731343,0.0
u19,14.632,0.2656,18625.0,0.0196,0.2831,65.078,4451.0,4446.0,0.0649,0.0466,478.366,0.012,0.1085,24.902,64,58.456,20.29,652.4699348970134,0.0608,0.2829043772950781,0.5186285629840867,26.291,0.21277329954311325,4.03,67.311,16.642,0.2755298258040935,0.5315183938041099,0.02601977498976455,0.5043223231618087,147.0,1670.0285752259435,31.29,0.0591,599.7019293225427,556.5789723958078,0.009175337170794095,172641.68656716414,28265260.0,130024.0895522388,15424685.0,230219.1791044776,95052.62686567164,100195.0895522388,0.0908,0.026098945504773426,168025.73134328358,0.0179,11257724.0,0.9223612513487732,421869.55223880603,0.0492,0.04007829115564498,0.040940478536034136,0.0260834469658019,249227.8656716418,0.9189703220229406,0.010614823149390565,0.2682014244828512,72973.10447761194,1.0
u20,16.362000000000002,0.0682,11013.55,0.006,0.0805,58.4,2560.0,2560.0,0.034,0.0137,231.829,0.0258,0.0766,10.919,63,86.24600000000002,25.238000000000003,657.9642451539928,0.0671,0.2834635773825905,0.5226205095229804,20.134,0.2051162551603907,2.4,60.832,2.835,0.2790878422389449,0.5325765449273587,0.02618564180706808,0.5114201674570186,273.0,1674.333546451581,26.51,0.0186,610.5626667728702,568.72147370737,0.008647783389245945,209266.4328358209,34291128.0,161415.62686567163,18861396.0,281513.37313432834,110744.19402985074,120097.74626865672,0.0788,0.025874318823401663,194801.0,0.0091,13051667.0,0.9241042368681162,511807.8805970149,0.0429,0.03879543874099289,0.03987191390833216,0.02600868930232644,302541.44776119397,0.9203538087132608,0.010015159921225435,0.2744359256080557,84056.80597014926,0.0
u22,22.529,0.1546,20380.1,0.0175,0.1992,50.309,3527.0,3516.0,0.0379,0.006999999999999999,159.933,0.0481,0.1226,21.738000000000003,75,70.55,27.161,662.0021465625098,0.1049,0.2774797568755957,0.5267389783981345,9.28,0.2024810673178296,2.04,73.34899999999998,7.7120000000000015,0.2762376074757025,0.5333250023215993,0.026671047255875702,0.5200391758065747,202.0,1686.3009713835654,32.44,0.0478,613.6974325549762,571.6967736793893,0.008907585894774963,231183.0149253732,37885881.0,177493.61194029852,20445969.0,305163.71641791053,121908.46268656715,127670.10447761195,0.114,0.0262796753122632,212007.76119402985,0.0014,14204520.0,0.9236249522258376,565460.9104477612,0.1118,0.038873828361835186,0.03968544878744743,0.02646381956337804,334277.89552238805,0.920273706903172,0.01022577942333686,0.2738594487902848,90099.29850746268,0.0
