u53,u47,u46,u52,u44,u50,u51,u45,u41,u54,u56,u42,u43,u57,u30,u24,u18,u19,u25,u31,u27,u33,u32,u22,u36,u23,u09,u35,u20,u34,u08,u05,u39,u04,u10,u12,u13,u07,u03,u17,u16,u02,u14,u00,u01,u15,u59,u58,u49
0.0786,0.0251,0.0475,0.1482,0.0419,0.0198,0.128,0.0434,0.0299,0.0557,0.0722,0.0536,0.0397,0.0922,0.0862,0.0567,0.0644,0.0492,0.0453,0.0745,0.1238,0.1191,0.1133,0.1118,0.1153,0.1997,0.0907,0.0227,0.0429,0.0298,0.0493,0.0706,0.0055,0.1177,0.0983,0.1563,0.0329,0.0726,0.0166,0.0975,0.0991,0.0807,0.0946,0.099,0.139,0.0189,0.0408,0.0928,0.0284
0.0859,0.0466,0.1761,0.1538,0.0741,0.0904,0.1292,0.0813,0.044,0.109,0.0471,0.0918,0.1391,0.2501,0.1777,0.0429,0.0937,0.2656,0.0128,0.1268,0.122,0.1641,0.1577,0.1546,0.2693,0.0421,0.1026,0.0112,0.0682,0.0246,0.2288,0.1674,0.0059,0.2127,0.1836,0.173,0.2095,0.1607,0.0643,0.1583,0.0846,0.2388,0.1857,0.1048,0.139,0.0451,0.1677,0.1114,0.0209
0.0126,0.0046,0.037,0.0137,0.0104,0.0077,0.0103,0.0113,0.0063,0.0405,0.0201,0.0222,0.0132,0.0148,0.0176,0.0103,0.0055,0.0196,0.0119,0.0727,0.0096,0.0332,0.0073,0.0175,0.0122,0.0659,0.0256,0.0072,0.006,0.0019,0.0424,0.0349,0.0058,0.0704,0.0304,0.0358,0.0078,0.0285,0.0072,0.0406,0.0223,0.0088,0.0106,0.0236,0.0108,0.0126,0.0273,0.0269,0.0323
0.1121,0.0271,0.0243,0.0624,0.0491,0.0273,0.1243,0.0373,0.065,0.0528,0.0993,0.0733,0.1032,0.0869,0.1274,0.0339,0.0916,0.0908,0.0885,0.0701,0.0839,0.0767,0.1039,0.114,0.066,0.1415,0.1473,0.0611,0.0788,0.0425,0.0596,0.1102,0.0069,0.1472,0.1036,0.1338,0.0372,0.0966,0.0645,0.1856,0.0915,0.0397,0.0569,0.0777,0.1409,0.0448,0.0681,0.1316,0.0365
