,Frequency of wifi,Phonelock duration during morning,The frequency of changing building,Average duration of each conversation,Average duration of each conversation during day,Daily average 2 ratio during night,Audio daily average 2 ratio,Bluetooth class,Daily average stationary ratio during night,Phonelock duration during night,Daily average 2 ratio during day,Daily average unknown activity ratio during night,Total counts of bluetooth mac address,Average accuracy,Phonecharge duration during evening,Medium strength of wifi level,Light duration during evening,Daily average walking ratio,Audio daily average 0 ratio,Daily average 0 ratio during day,Average duration of each long-time conversation(>10 mins),Average speed,Average duration of each conversation during night,Phonelock duration during evening,Phonecharge duration during afternoon,Light duration during morning,Average bearing,Wifi times of gps_network_type,High strength of wifi level,Phonecharge duration during night,FlourishingScale
u17,15728.25,0.1015,74,592.2906671440505,538.1332442871652,0.2348624962171103,0.2251005540044664,246.43900000000002,0.9161487999943893,0.1826,0.2169910851108044,0.0269736511376127,15.425999999999998,36.79,0.018000000000000002,32.01,0.0406,0.03907215922227613,0.5007104866027378,0.5252865101297769,1629.636466080685,0.01,672.7778913209997,0.0656,0.0821,0.0975,0.91,6346.0,44.659,0.04,0.0
u18,12406.048,0.0756,69,602.2296169890028,558.0988193895797,0.21703108230447232,0.20956584285962834,752.5,0.917968733524138,0.1124,0.2036149507517723,0.02644464339767997,49.525,48.61,0.0054,20.07,0.0055,0.041321646204090096,0.5142848499425465,0.5270868833104204,1671.239678005713,0.08,655.7300616729261,0.0453,0.0603,0.0644,4.0,3412.0,68.419,0.0474,0.0
u19,18625.0,0.0608,64,599.7019293225427,556.5789723958078,0.21277329954311325,0.2058416112118199,478.366,0.9189703220229406,0.1085,0.20028018171303888,0.02601977498976455,26.291,31.29,0.0179,20.29,0.0196,0.040940478536034136,0.5186285629840867,0.5315183938041099,1670.0285752259435,0.06,652.4699348970134,0.0466,0.012,0.0492,4.03,4451.0,65.078,0.0591,0.0
u20,11013.55,0.0671,63,610.5626667728702,568.72147370737,0.2051162551603907,0.19829164823807455,231.829,0.9203538087132608,0.0766,0.1929875294645856,0.02618564180706808,20.134,26.51,0.0091,25.238000000000003,0.006,0.03987191390833216,0.5226205095229804,0.5325765449273587,1674.333546451581,0.02,657.9642451539928,0.0137,0.0258,0.0429,2.4,2560.0,58.4,0.0186,0.0
u22,20380.1,0.1049,75,613.6974325549762,571.6967736793893,0.2024810673178296,0.1970234141261632,159.933,0.920273706903172,0.1226,0.1928155488881157,0.026671047255875702,9.28,32.44,0.0014,27.160999999999998,0.0175,0.03968544878744743,0.5267389783981345,0.5333250023215993,1686.3009713835654,0.03,662.0021465625097,0.006999999999999999,0.0481,0.1118,2.04,3527.0,50.309,0.0478,1.0
u23,6278.2,0.2083,60,619.6928189717703,575.9723048790738,0.20240410460608213,0.19627230678785013,327.37,0.9206464100476726,0.07200000000000001,0.19157840538818094,0.026477444419378843,34.663000000000004,26.41,0.0975,23.578000000000003,0.0659,0.038805814549256835,0.5291811666261129,0.536999058163709,1692.5314518317505,0.13,669.5279893005768,0.0513,0.0307,0.1997,16.18,2076.0,55.993,0.1492,0.0
u24,6052.75,0.0637,66,604.5837425078731,560.4006640375935,0.2145997743258989,0.2083617147412124,244.27599999999998,0.9163200583602574,0.0562,0.20324313490280815,0.026964397631278333,21.864,45.33,0.0248,15.635,0.0103,0.04229474472785715,0.5182456993802333,0.5308010993910961,1675.7449459631275,0.03,656.488718626066,0.0241,0.0388,0.0567,1.3,2121.0,65.578,0.006,0.0
u27,4968.25,0.0563,56,622.6083366043662,578.8732406434376,0.21632600614099184,0.208315237849106,353.545,0.9172574887857124,0.0697,0.20181772724649708,0.02628917159358771,14.639000000000001,28.32,0.0008,24.155,0.0096,0.03974266511237251,0.5222941506510491,0.5388220053417861,1697.1215731700588,0.01,673.49749229308,0.0283,0.0678,0.1238,0.62,4410.0,66.085,0.0412,0.0
u30,44151.05,0.1146,74,615.365446549723,570.5879329917346,0.21953093974890486,0.21274953789103834,1234.772,0.9151996884827536,0.1561,0.20724432070476176,0.027639496547253287,48.24,45.7,0.005,20.145,0.0176,0.04235213277969064,0.5104170203330971,0.5227938595737764,1683.2976254884281,0.06,667.4253488034416,0.0528,0.1834,0.0862,1.66,3795.0,69.042,0.0083,1.0
u31,14463.173999999999,0.0506,56,593.5345483418272,553.4049989135897,0.21132650501136704,0.20390773970096607,330.6,0.9181682499147142,0.0602,0.19799963013876776,0.02716088147948711,34.54,79.11,0.0367,17.14,0.0727,0.04094991378500969,0.5196872344838838,0.5325301956536121,1656.9640495286335,0.31,645.5905381521167,0.0606,0.0561,0.0745,5.87,3896.0,56.753,0.0445,0.0
u32,28294.55,0.121,79,622.2139915087764,580.0764511536104,0.21610545728505204,0.2089713074887333,1038.976,0.9170701536014564,0.1625,0.20320219086721653,0.026346439831351275,51.75899999999999,36.4,0.0007,15.061,0.0073,0.04146034579434134,0.5193749913074526,0.5337895154110975,1689.6529577789302,0.03,671.2070185293306,0.0262,0.1778,0.1133,1.74,3722.0,76.163,0.0419,1.0
u33,9193.429,0.063,77,628.2555368131698,587.4280186816245,0.2213162997355299,0.21136371124507067,164.412,0.9186630071407212,0.0497,0.2034153275297422,0.025454107235685586,14.482000000000001,34.84,0.0286,19.648,0.0332,0.03980913035440534,0.5180798798639789,0.5365577423787814,1700.4663735272566,0.01,674.9517021112896,0.0445,0.1419,0.1191,1.08,2754.0,65.365,0.0213,0.0
u34,13402.75,0.0349,72,612.8087916526422,570.9619157773324,0.206185564879493,0.1994461827356429,169.0,0.9193201272549244,0.0382,0.19417053764636075,0.02754816435298626,15.267999999999999,34.45,0.0,11.632,0.0019,0.03972883496812474,0.5199723537750834,0.5302013244862545,1675.6396544019067,0.23,659.9673348272871,0.0,0.0131,0.0298,12.2,1876.0,68.655,0.0303,0.0
u35,12160.7,0.0781,63,609.1990775725043,567.625782263515,0.207305244783564,0.1997641650404551,362.42400000000004,0.9186351663086584,0.0963,0.19388382754371672,0.026873401393302715,35.701,35.59,0.0,11.248,0.0072,0.040423948981433866,0.5196392417327311,0.5306765293725693,1669.7585823958286,0.05,655.3448323204648,0.0055,0.0384,0.0227,3.43,4155.0,64.086,0.0506,1.0
u36,45790.05,0.1156,86,614.1535837160089,571.9373158613273,0.2027535828408835,0.19683186424221952,2378.222,0.9194300362381109,0.1396,0.19229077559637,0.02710460349137707,242.767,209.74,0.013000000000000001,19.194000000000003,0.0122,0.039580907537865855,0.5249364365135334,0.5322002636873561,1686.3368679064315,0.06,663.6839861654049,0.0191,0.1036,0.1153,4.06,4710.0,59.523,0.0569,1.0
u39,3650.4,0.0082,40,510.2164948453608,495.9926696794239,0.2191472055888154,0.22041029404528686,147.583,0.92117512814888,0.0097,0.22027967625475928,0.026453861583855643,37.681,53.62,0.0,5.121,0.0058,0.03755308944032703,0.5428148518341518,0.5548307582239419,1425.1104199066876,0.04,628.7673976947062,0.006,0.0,0.0055,3.1,1200.0,81.13600000000001,0.0039,0.0
u42,31540.6,0.0556,69,602.4385276122526,559.8379747196353,0.19175156366025375,0.1878129332831424,165.97299999999998,0.9203896506316582,0.0582,0.18484520953783165,0.026175934523971347,16.332,34.2,0.0,17.371,0.0222,0.03829106934950945,0.5422933998401093,0.5454677520279819,1668.3745796906524,0.15,657.7339475794282,0.0223,0.0091,0.0536,6.23,2782.0,48.934,0.0448,0.0
u43,9712.095,0.0501,69,602.4623699775648,560.9000712097364,0.19498835023224076,0.1912586828899571,160.04399999999998,0.9173585110894432,0.1107,0.1884385402702919,0.027011097292398683,11.692,40.75,0.0,19.863,0.0132,0.039062260590382,0.5395858252771445,0.5407523076596006,1673.0735203925174,0.18,656.5869313978791,0.0211,0.0832,0.0397,4.18,4159.0,62.497,0.0225,0.0
u44,11217.524,0.0857,54,597.2562723172338,548.9556405690789,0.1982360731238518,0.1918169628284357,346.281,0.961981390990254,0.1465,0.18691471221030267,0.010731545412276841,34.413000000000004,44.19,0.0127,9.759,0.0104,0.014930014560176591,0.5356454115550922,0.5444385820454138,1677.6164800716526,0.07,661.5808906897737,0.0524,0.0206,0.0419,4.62,3824.0,77.381,0.0231,0.0
u45,24780.05,0.0767,72,614.1594350459483,566.9046763193184,0.19801138565117146,0.19143587108840865,183.424,0.9277466359087408,0.07,0.18644369829888136,0.02730845994096177,18.682000000000002,40.17,0.0,13.8,0.0113,0.028483487015849688,0.5353911417482903,0.5440353809679453,1699.8695652173913,0.39,676.4668267038992,0.0728,0.0098,0.0434,14.65,1868.0,68.796,0.0549,1.0
u46,17613.476000000002,0.0316,85,621.8039410015741,576.5265599890872,0.19274559186220386,0.1890871718294176,718.1139999999999,0.9325745295524436,0.0347,0.1863314313714717,0.02340412494611455,31.315,57.18,0.0184,25.351,0.037000000000000005,0.035665757944009745,0.5408716336893493,0.5439525009378852,1708.929981855054,0.02,679.2735596115504,0.0482,0.1444,0.0475,1.86,3685.0,56.183,0.0125,0.0
u47,7145.632,0.0447,68,616.1325266984776,571.3469945599599,0.19734836333454767,0.1906962398648995,331.82099999999997,0.9372282717458452,0.047,0.1856551994677024,0.022831356615628517,31.928,151.79,0.0,17.362000000000002,0.0046,0.027464651602588847,0.5392954427651212,0.5474662138249939,1703.6790292078172,0.04,674.6929029180402,0.0089,0.0309,0.0251,3.1,3203.0,73.525,0.0259,1.0
u49,22965.107000000004,0.0923,83,617.7851111603047,560.0435509754664,0.25722000750868546,0.2679575849693574,3839.792,0.9098996394448484,0.1161,0.27428428566692153,0.029122130050765107,156.593,55.65,0.0448,22.491,0.0323,0.042622829089873984,0.5119395311196673,0.5105963886074878,1701.021519134582,0.07,689.5964931999747,0.0799,0.0647,0.0284,6.1,3359.0,59.618,0.0431,1.0
u50,18210.25,0.078,51,602.0296353875676,552.6412493214992,0.20070231129527372,0.19435240729507927,902.4,0.9571916765881264,0.0694,0.18949763762785912,0.01886787819569476,118.21799999999999,36.85,0.0,28.38,0.0077,0.014692019291874641,0.532083868363613,0.5400696045348929,1686.1991533222895,0.03,667.8537892141446,0.0072,0.0034,0.0198,3.18,2739.0,49.43600000000001,0.0248,1.0
u51,18445.087,0.1535,79,606.3989562624254,558.5636167709183,0.19744092734209626,0.19066663449628,758.449,0.9284596709186691,0.2268,0.18554095358793413,0.022586527124604846,89.76799999999999,178.83,0.0012,22.94,0.0103,0.029776587586254705,0.5378633880293838,0.5464560887672065,1690.9815039701075,0.06,670.1115157025804,0.0288,0.2014,0.128,2.68,5882.0,53.461999999999996,0.021,0.0
u52,151418.545,0.1443,51,614.0166054507855,558.4586922488371,0.19302366248858366,0.18690018258855426,491.721,0.919223517024418,0.1095,0.18234378567809947,0.026162833104304364,26.596,69.56,0.0045,16.025,0.0137,0.03999428654600736,0.5443778251561283,0.5505441899119313,1698.6305565078278,0.02,682.6613330100413,0.0607,0.0905,0.1482,7.89,4391.0,71.605,0.0316,0.0
u53,35303.8,0.11800000000000001,75,613.5359967606964,566.4838972411561,0.19490826777356146,0.18870300604171444,302.949,0.936744566550986,0.1662,0.1839865952197646,0.023403309944224952,37.626999999999995,27.48,0.004,21.951,0.0126,0.02665201892513304,0.5408159915707493,0.5483748722808004,1705.1948692152914,0.09,674.7560525233002,0.0428,0.0673,0.0786,3.23,3653.0,62.763999999999996,0.0274,1.0
u56,13101.2,0.0724,70,599.9809693610589,561.2095225122284,0.19171373378736775,0.18840685819405129,132.94299999999998,0.9193588326447644,0.1188,0.1858946681014285,0.02586802338075716,15.667,165.34,0.0154,15.547,0.0201,0.03975450635606319,0.5430753689305754,0.5453346602887333,1665.8413057766745,0.09,650.3652063604159,0.0231,0.0735,0.0722,1.73,3313.0,68.007,0.019,1.0
u57,28505.286,0.0513,80,602.4492272563903,560.104636159012,0.19412976759720613,0.19134104598335874,1370.6960000000001,0.9123123622165318,0.0879,0.1891849753074437,0.02858914707643047,81.992,71.35,0.0105,18.518,0.0148,0.04127201653524349,0.5392606664163683,0.5398414133549327,1680.2315302377535,0.13,658.3369127072043,0.0517,0.2077,0.0922,11.0,4749.0,68.805,0.0268,1.0
u58,19030.5,0.1438,68,659.1099559403262,605.5320161540885,0.2863610701713312,0.3002349922856966,95.289,0.909292593919852,0.1552,0.30868349258807665,0.02952967820312889,12.392999999999999,55.26,0.0136,22.076999999999998,0.0269,0.04266220832444628,0.4822238293451746,0.4698224308753505,1704.1845347313238,0.11,724.7272955356121,0.0325,0.1618,0.0928,3.3,5710.0,55.887,0.0194,1.0
u59,27778.15,0.0321,75,622.8987616409094,563.8190023042196,0.3521733227698248,0.3669138852799485,205.86700000000002,0.9086250916229996,0.0565,0.3825453819731284,0.029703361052309318,13.994000000000002,158.19,0.0208,17.125,0.0273,0.0429043464171246,0.455781330994094,0.4473922658944859,1701.914733390016,0.04,694.5068983952748,0.0252,0.1711,0.0408,3.02,5436.0,68.97,0.0299,1.0
