,Frequency of wifi,Phonelock duration during morning,The frequency of changing building,Average duration of each conversation,Average duration of each conversation during day,Daily average 2 ratio during night,Audio daily average 2 ratio,Bluetooth class,Daily average stationary ratio during night,Phonelock duration during night,Daily average 2 ratio during day,Daily average unknown activity ratio during night,Total counts of bluetooth mac address,Average accuracy,Phonecharge duration during evening,Medium strength of wifi level,Light duration during evening,Daily average walking ratio,Audio daily average 0 ratio,Daily average 0 ratio during day,Average duration of each long-time conversation(>10 mins),Average speed,Average duration of each conversation during night,Phonelock duration during evening,Phonecharge duration during afternoon,Light duration during morning,Average bearing,Wifi times of gps_network_type,High strength of wifi level,Phonecharge duration during night,FlourishingScale
u00,20277.727,0.1283,82,629.6627247763307,570.3818960400579,0.24086735807043946,0.22871230872666806,135.593,0.9154300963192838,0.0956,0.21822330872273493,0.027300626576076032,7.396,341.25,0.006999999999999999,18.05,0.0236,0.040073979746382236,0.5117101683475364,0.5430861388473158,1660.8295348111144,0.29,709.1906740924429,0.0334,0.0964,0.099,6.49,3595.0,69.152,0.0175,1.0
u01,7841.048000000001,0.1227,71,616.2079933551571,563.5990351602952,0.2421723073662836,0.23157462154976546,218.13299999999998,0.915292874521746,0.1958,0.22286321147497692,0.026773478125838062,15.47,46.5,0.0045,14.452,0.0108,0.04016378193902058,0.4935177641458229,0.5160559079402038,1633.090322580645,0.05,688.4800732685393,0.0246,0.1462,0.139,4.12,5110.0,67.475,0.0099,1.0
u02,15048.091,0.0384,84,588.2452525845002,535.6948877889239,0.22604245622862235,0.215960334817485,447.23800000000006,0.916429524636668,0.0493,0.20774074148550456,0.02640107772005979,19.773,74.16,0.0084,17.128,0.0088,0.039585836640634434,0.5140323284228828,0.5368546997111154,1623.2769102063587,0.03,675.213276368908,0.0165,0.1881,0.0807,2.39,6273.0,63.597,0.0233,0.0
u03,6821.45,0.046,49,590.2821420283129,533.0276920998324,0.2287840399990861,0.2188261364300604,116.917,0.9161988549643856,0.0876,0.21055421175731734,0.026593381248071955,17.759,23.98,0.0079,20.489,0.0072,0.03945604395479135,0.5128288197213368,0.5383660628131212,1630.023102310231,0.03,672.4700673549742,0.0259,0.0853,0.0166,2.42,3351.0,53.479,0.0413,0.0
u04,20384.95,0.1228,89,532.3734240544327,508.3132989599135,0.2373340007146265,0.22802586872436406,160.304,0.9180000735155716,0.1454,0.21999171960338168,0.027199900163482376,7.33,33.44,0.0021,18.744,0.0704,0.038475792828853835,0.5246271209237716,0.5517361929129967,1439.0120192307693,0.03,648.429493904868,0.1047,0.2227,0.1177,2.36,3544.0,68.953,0.0039,0.0
u05,10706.8,0.0824,71,545.5475113122171,511.73216487271935,0.22318200587139544,0.22462814725508248,1320.356,0.9204859390076164,0.146,0.2246118156667498,0.026682861732717555,65.36399999999999,37.56,0.0083,17.984,0.0349,0.03788103813227582,0.5354932499255532,0.5482035429338894,1523.3808172531217,0.02,652.8509091224888,0.0367,0.1285,0.0706,1.66,5294.0,68.707,0.0241,1.0
u07,30193.5,0.0799,93,552.60828892836,494.8685000217679,0.2350537200567303,0.23963343323810185,199.15200000000002,0.9202975623782388,0.1339,0.24157019485431624,0.02677593884569755,20.916,41.48,0.0157,18.903,0.0285,0.03801575911410588,0.5241578222612915,0.5377095723276225,1550.3304843304845,0.06,675.8346505720258,0.0264,0.0988,0.0726,3.17,2993.0,65.06,0.0137,1.0
u08,13321.521999999999,0.0498,69,612.8206765478013,571.0001144241403,0.20358715221457102,0.19817526145835013,420.93,0.919755402172338,0.0891,0.19396263537255548,0.026932890082297583,18.432000000000002,63.27,0.0339,23.719,0.0424,0.04009071750639431,0.5213096059497279,0.5289409608140951,1679.2461087527795,0.01,660.7750184798443,0.0666,0.1382,0.0493,0.84,6055.0,66.278,0.0164,0.0
u09,23139.3,0.1086,87,613.4043506320943,574.4058944661838,0.2098306387937582,0.20222782934652508,329.57099999999997,0.9169877686187704,0.171,0.1962717382993019,0.02737064763365071,17.089000000000002,34.4,0.0025,15.825,0.0256,0.04147867593064211,0.5145805249884413,0.5262298853383592,1670.9790398289724,0.07,656.5615959142364,0.0534,0.1534,0.0907,6.65,4755.0,73.354,0.0199,1.0
u10,10748.571000000002,0.1102,66,510.74513274336283,408.6358542932026,0.21622717320784146,0.21531001916480247,459.42900000000003,0.917989888586688,0.1696,0.21371696867153606,0.026938813876856524,14.93,33.84,0.0287,27.651,0.0304,0.03816962013698028,0.5448072602226532,0.5641943947693163,1644.2229437229435,0.01,697.7801577801746,0.0482,0.0007,0.0983,0.97,4430.0,62.62,0.0743,0.0
u12,25302.2,0.1609,78,556.3448502796973,505.0019153698791,0.2384135321492912,0.24332187185979956,152.295,0.91989582758811,0.1252,0.24514628083296625,0.026816347028188067,11.357999999999999,181.58,0.0202,18.057000000000002,0.0358,0.038458131860939535,0.5190132966937624,0.5341040681863697,1564.9767060367456,0.14,651.3008306539683,0.0603,0.184,0.1563,4.17,5812.0,61.423,0.0195,1.0
u13,41297.455,0.0653,79,527.8815637065637,483.2374919160785,0.22582288276471466,0.2287520282344976,3587.042,0.9201629409523512,0.0868,0.2296505161082077,0.02691337610858767,319.44,95.9,0.0167,24.374000000000002,0.0078,0.0380651074137764,0.5350229594974601,0.5455567657615639,1520.2778229082046,0.08,628.1610941755055,0.0225,0.0278,0.0329,4.86,5857.0,51.975,0.0581,0.0
u14,14767.618999999999,0.1145,83,648.2303226070245,586.1489291544318,0.24385369971078955,0.23357472928002376,944.209,0.9182027598218264,0.1095,0.2245253817340341,0.02654112838022234,49.756,39.84,0.002,17.754,0.0106,0.03926892029139043,0.4989652817672818,0.5265907976902617,1687.31196400956,0.01,724.1918478800916,0.0248,0.1192,0.0946,1.15,3694.0,60.897,0.0372,1.0
u15,9134.1,0.0292,77,598.5955818022748,536.8222360457708,0.2432086669424353,0.23189157293065826,150.361,0.9149922644552622,0.0684,0.22224299387163646,0.02704474392794678,9.666,35.85,0.0038,16.641,0.0126,0.040095077324380016,0.4986064507097821,0.5277264197664974,1628.227724781815,0.14,681.496641336327,0.0117,0.0059,0.0189,6.05,1700.0,64.786,0.0178,1.0
u16,8722.955,0.1127,86,589.2235386017446,541.2990721806945,0.2222606174953029,0.2113643405125752,376.81199999999995,0.9164892364384848,0.1576,0.2026017363736647,0.026635788674178883,23.971999999999998,32.26,0.013000000000000001,16.483,0.0223,0.039086794697582514,0.5193484790392979,0.5406665620115033,1627.756622926467,0.02,671.3652746336884,0.0364,0.0703,0.0991,1.63,5795.0,76.741,0.059000000000000004,0.0
