u45,u51,u50,u44,u52,u46,u47,u53,u57,u43,u42,u56,u54,u41,u32,u33,u27,u31,u25,u19,u18,u24,u30,u08,u34,u20,u35,u09,u23,u36,u22,u07,u13,u12,u10,u04,u39,u05,u15,u01,u00,u14,u02,u16,u17,u03,u58,u59,u49
1868.0,6218.0,2743.0,3824.0,4481.0,3726.0,3348.0,3653.0,4867.0,4152.0,2782.0,3511.0,2497.0,2976.0,3722.0,2754.0,4410.0,3949.0,1768.0,4446.0,3412.0,2125.0,3795.0,6078.0,1876.0,2560.0,4155.0,4754.0,2076.0,5108.0,3516.0,2993.0,6006.0,6151.0,4430.0,3544.0,1200.0,5294.0,1698.0,5110.0,4060.0,3694.0,6344.0,5795.0,6346.0,3351.0,5748.0,5713.0,3402.0
435.0,148.0,184.0,322.0,542.0,82.0,70.0,272.0,989.0,143.0,176.0,100.0,43.0,62.0,98.0,55.0,32.0,254.0,33.0,147.0,287.0,26.0,52.0,66.0,223.0,273.0,185.0,307.0,812.0,314.0,202.0,112.0,596.0,396.0,27.0,76.0,149.0,94.0,88.0,431.0,256.0,111.0,263.0,95.0,54.0,151.0,275.0,127.0,509.0
1868.0,5882.0,2739.0,3824.0,4391.0,3685.0,3203.0,3653.0,4749.0,4159.0,2782.0,3313.0,847.0,2976.0,3722.0,2754.0,4410.0,3896.0,1768.0,4451.0,3412.0,2121.0,3795.0,6055.0,1876.0,2560.0,4155.0,4755.0,2076.0,4710.0,3527.0,2993.0,5857.0,5812.0,4430.0,3544.0,1200.0,5294.0,1700.0,5110.0,3595.0,3694.0,6273.0,5795.0,6346.0,3351.0,5710.0,5436.0,3359.0
0.0,350.0,4.0,0.0,90.0,41.0,145.0,0.0,118.0,0.0,0.0,198.0,1656.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,4.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,151.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,0.0,71.0,0.0,0.0,0.0,38.0,279.0,49.0
40.17,178.83,36.85,44.19,69.56,57.18,151.79,27.48,71.35,40.75,34.2,165.34,1656.14,32.99,36.4,34.84,28.32,79.11,34.09,31.29,48.61,45.33,45.7,63.27,34.45,26.51,35.59,34.4,26.41,209.74,32.44,41.48,95.9,181.58,33.84,33.44,53.62,37.56,35.85,46.5,341.25,39.84,74.16,32.26,36.79,23.98,55.26,158.19,55.65
14.65,2.68,3.18,4.62,7.89,1.86,3.1,3.23,11.0,4.18,6.23,1.73,1.53,0.95,1.74,1.08,0.62,5.87,2.3,4.03,4.0,1.3,1.66,0.84,12.2,2.4,3.43,6.65,16.18,4.06,2.04,3.17,4.86,4.17,0.97,2.36,3.1,1.66,6.05,4.12,6.49,1.15,2.39,1.63,0.91,2.42,3.3,3.02,6.1
0.39,0.06,0.03,0.07,0.02,0.02,0.04,0.09,0.13,0.18,0.15,0.09,0.05,0.01,0.03,0.01,0.01,0.31,0.07,0.06,0.08,0.03,0.06,0.01,0.23,0.02,0.05,0.07,0.13,0.06,0.03,0.06,0.08,0.14,0.01,0.03,0.04,0.02,0.14,0.05,0.29,0.01,0.03,0.02,0.01,0.03,0.11,0.04,0.07
