,Frequency of wifi,Phonelock duration during morning,The frequency of changing building,Average duration of each conversation,Average duration of each conversation during day,Daily average audio_2 ratio,Bluetooth class,Daily average audio_2 ratio during night,Daily average activity_0 ratio during night,Daily average activity_3 ratio during night,Daily average audio_2 ratio during day,Phonelock duration during night,Total counts of bluetooth mac address,Medium strength of wifi level,Average accuracy,Phonecharge duration during evening,Daily average audio_0 ratio during day,Light duration during evening,Daily average audio_0 ratio,Phonecharge duration during afternoon,Daily average activity_1 ratio,Average speed,Average duration of each long-time conversation(>10 mins),Average duration of each conversation during night,Phonelock duration during evening,Average frequency of changing building,Wifi times of gps_network_type,Light duration during morning,Gps times of gps provider,Network times of gps provider,High strength of bluetooth level,Average bearing,Phonecharge duration during night,Low strength of wifi level,Light duration during night,Daily average activity_2 ratio during night,Low strength of bluetooth level,Phonelock duration during afternoon,Phonecharge duration during morning,Daily average activity_2 ratio during day,Total counts of wifi-bssid address,Medium strength of bluetooth level,Daily average activity_2 ratio,Daily average activity_1 ratio during day,Daily average activity_1 ratio during night,High strength of wifi level,Daily average activity_3 ratio during day,Daily average audio_0 count during day,Daily average audio_0 ratio during night,Daily average activity_0 ratio,Daily average long-time conversation duration(>10 mins),Daily average conversation duration during night,Daily average audio_2 times during night,Daily frequency of conversation during day,Daily frequency of conversation,Daily average conversation duration,Daily average audio_1 ratio during day,Audio_0 times count,Daily average audio_1 times,Daily frequency of long-time conversation(>10 mins),Daily average audio_0 count,Daily average audio_2 times during day,Daily average conversation duration during day,Audio_1 times count,Daily average audio_1 ratio,Daily frequency of conversation during night,Daily average audio_1 times during day,FlourishingScale
u00,20277.727,0.1283,82.0,629.6627247763307,570.3818960400579,0.2287123087266681,135.593,0.24086735807043946,0.9154300963192838,0.027300626576076032,0.21822330872273493,0.0956,7.396,18.05,341.25,0.006999999999999999,0.5430861388473158,0.0236,0.5117101683475364,0.0964,0.040073979746382236,0.29,1660.8295348111144,709.1906740924429,0.0334,148.859756097561,3595.0,0.099,256.0,4060.0,8.809,6.49,0.0175,69.152,0.0777,0.013436112865371354,66.812,0.1119,0.0713,0.00922607631956992,14.351,24.379,0.010959906791458177,0.03747508343517916,0.043833164239268765,12.798,0.02473605845453751,116338.79104477615,0.476243785817322,0.9231608274018758,158795.1343283582,110042.11940298507,39903.73134328358,180.86567164179104,336.9850746268657,212186.94029850746,0.2386905524299493,13114577.0,100334.73134328358,95.61194029850746,195739.9552238806,46559.07462686567,102144.82089552238,6722427.0,0.2595775229257955,156.11940298507463,52034.44776119403,1.0
u01,7841.048000000002,0.1227,71.0,616.2079933551571,563.5990351602952,0.23157462154976546,218.133,0.2421723073662836,0.915292874521746,0.026773478125838062,0.22286321147497687,0.1958,15.47,14.452,46.5,0.0045,0.5160559079402038,0.0108,0.4935177641458229,0.1462,0.04016378193902058,0.05,1633.090322580645,688.4800732685393,0.0246,311.2676056338028,5110.0,0.139,431.0,5110.0,15.449000000000002,4.12,0.0099,67.475,0.1409,0.013865361933638416,63.768,0.1898,0.0115,0.009361102614811273,36.454,20.782,0.011218246047610382,0.03745953329477577,0.04406828541877728,18.073,0.024488250913792312,139742.74626865672,0.4682604206292981,0.9231753980260712,139787.6567164179,96402.73134328358,49297.82089552238,164.32835820895522,305.4776119402985,188237.74626865672,0.2610808805848191,15770538.0,133285.32835820894,85.59701492537313,235381.1641791045,60393.253731343284,91835.01492537317,8930117.0,0.27490761430441146,141.1492537313433,72541.70149253731,1.0
u02,15048.091,0.0384,84.0,588.2452525845002,535.6948877889239,0.215960334817485,447.23800000000006,0.22604245622862235,0.9164295246366679,0.02640107772005979,0.20774074148550456,0.0493,19.773,17.128,74.16,0.0084,0.5368546997111154,0.0088,0.5140323284228828,0.1881,0.039585836640634434,0.03,1623.2769102063587,675.213276368908,0.0165,355.625,6273.0,0.0807,263.0,6344.0,11.494000000000002,2.39,0.0233,63.597,0.0397,0.01278022874092801,70.938,0.1745,0.049,0.008518186551057804,49.63399999999999,17.567999999999998,0.010277733377334605,0.036225903318635684,0.04438916890234424,19.274,0.023883306580589136,171749.94029850746,0.4879241567494448,0.925193280252721,86881.65671641791,63211.850746268654,54643.477611940296,108.82089552238806,203.56716417910442,119747.41791044775,0.25540455880338003,19431032.0,154671.94029850746,53.52238805970149,290015.4029850746,66552.70149253731,56535.56716417911,10363020.0,0.27000733675963223,94.74626865671642,83540.25373134327,0.0
u03,6821.45,0.046,49.0,590.2821420283129,533.0276920998324,0.2188261364300604,116.917,0.2287840399990861,0.9161988549643856,0.026593381248071955,0.21055421175731734,0.0876,17.759,20.489,23.98,0.0079,0.5383660628131212,0.0072,0.5128288197213368,0.0853,0.03945604395479135,0.03,1630.023102310231,672.4700673549742,0.0259,315.4795918367347,3351.0,0.0166,151.0,3351.0,6.023,2.42,0.0413,53.479,0.0645,0.013521763012917477,78.689,0.1022,0.0289,0.009118810787887802,60.207,15.289,0.01093523888279474,0.03651579524164,0.043686000774625186,26.032,0.02398882213902517,160508.76119402985,0.4841547247385918,0.9245279823262976,110573.9552238806,80559.73134328358,51961.985074626864,136.71641791044777,257.25373134328356,151852.28358208956,0.25107972542956164,18144066.0,143993.01492537314,67.83582089552239,270806.9552238806,62638.07462686567,71292.55223880598,9647532.0,0.26834504384860297,120.53731343283579,76623.58208955223,0.0
u04,20384.95,0.1228,89.0,532.3734240544327,508.3132989599135,0.2280258687243641,160.304,0.2373340007146265,0.9180000735155716,0.027199900163482376,0.21999171960338168,0.1454,7.33,18.744,33.44,0.0021,0.5517361929129967,0.0704,0.5246271209237716,0.2227,0.038475792828853835,0.03,1439.0120192307693,648.429493904868,0.1047,375.7191011235955,3544.0,0.1177,76.0,3544.0,11.73,2.36,0.0039,68.953,0.1472,0.013170227653206577,67.738,0.2306,0.0164,0.009244275164996986,39.365,20.532,0.010843392426524724,0.036305526831068136,0.04162979866773951,12.302,0.025288830985364413,107089.62686567164,0.4938616031644879,0.9245922640874557,26804.28358208956,22820.223880597016,35146.0,37.18181818181818,74.58208955223881,39705.522388059704,0.22827208748362185,12097797.0,86333.22388059701,18.626865671641788,180564.1343283582,42441.02985074627,17141.136363636364,5784326.0,0.2473470103518641,37.95522388059703,45269.56716417911,0.0
u05,10706.8,0.0824,71.0,545.5475113122171,511.73216487271935,0.22462814725508248,1320.356,0.22318200587139544,0.9204859390076164,0.026682861732717555,0.2246118156667498,0.146,65.36399999999999,17.984,37.56,0.0083,0.5482035429338894,0.0349,0.5354932499255532,0.1285,0.03788103813227582,0.02,1523.3808172531217,652.8509091224888,0.0367,338.9366197183099,5294.0,0.0706,94.0,5294.0,18.298,1.66,0.0241,68.707,0.1102,0.012283397608681851,53.01600000000001,0.1502,0.0285,0.008828393074424724,37.747,28.686,0.010230856120198566,0.03606064693730175,0.04054780165098409,13.309,0.025702276966828624,82745.53731343284,0.5237493787168265,0.9257766190966614,40062.64179104478,32309.940298507467,25179.119402985078,54.34848484848485,105.55223880597015,57583.76119402985,0.2271846413993609,9447474.0,64720.9552238806,26.298507462686572,141007.07462686568,33894.31343283582,25656.757575757583,4336304.0,0.2398786028193643,52.014925373134325,35278.53731343283,1.0
u07,30193.5,0.0799,93.0,552.60828892836,494.8685000217679,0.23963343323810185,199.152,0.2350537200567303,0.9202975623782388,0.02677593884569755,0.24157019485431624,0.1339,20.916,18.903,41.48,0.0157,0.5377095723276225,0.0285,0.5241578222612915,0.0988,0.03801575911410588,0.06,1550.3304843304845,675.8346505720258,0.0264,632.9139784946236,2993.0,0.0726,112.0,2993.0,3.395,3.17,0.0137,65.06,0.0966,0.012563532615209773,82.698,0.1688,0.0262,0.00901107772344706,69.763,13.907,0.010452164882764018,0.036427260204362884,0.04036296616085383,16.038,0.02560241915348804,62395.23880597015,0.5120174035096375,0.9254339732700432,48731.28358208955,38249.23880597015,20923.761194029852,68.22727272727273,126.04477611940298,69653.38805970151,0.22072023281806127,7152115.0,49337.31343283582,31.432835820895523,106747.98507462683,28369.82089552239,31879.969696969696,3305600.0,0.2362087445006065,58.835820895522396,26374.835820895518,1.0
u08,13321.522,0.0498,69.0,612.8206765478013,571.0001144241403,0.19817526145835013,420.93,0.20358715221457105,0.9197554021723381,0.026932890082297583,0.19396263537255548,0.0891,18.432,23.719,63.27,0.0339,0.5289409608140951,0.0424,0.5213096059497279,0.1382,0.04009071750639431,0.01,1679.2461087527795,660.7750184798443,0.0666,617.6231884057971,6055.0,0.0493,66.0,6078.0,20.11,0.84,0.0164,66.278,0.0596,0.012003127921107944,56.20399999999999,0.2017,0.0372,0.008820514074934086,56.374,23.685,0.010117411603966722,0.03926368904769506,0.0413085798242565,10.003,0.026216080393870373,313638.4776119403,0.5132915800119219,0.923249580871289,495954.0597014925,311005.9552238806,86260.5671641791,623.3880597014926,1091.5820895522388,668944.0746268657,0.27709640381334943,35550533.0,293933.55223880603,295.34328358208955,530604.9701492537,116018.86567164179,357938.1194029851,19693548.0,0.2805151325919222,468.1940298507463,169945.8208955224,0.0
u09,23139.3,0.1086,87.0,613.4043506320943,574.4058944661838,0.20222782934652508,329.571,0.2098306387937582,0.9169877686187704,0.02737064763365071,0.1962717382993019,0.171,17.089000000000002,15.825,34.4,0.0025,0.5262298853383592,0.0256,0.5145805249884413,0.1534,0.04147867593064211,0.07,1670.9790398289724,656.5615959142364,0.0534,482.1551724137931,4755.0,0.0907,307.0,4754.0,14.918,6.65,0.0199,73.354,0.1473,0.012409536475218872,65.402,0.2271,0.0461,0.008930414157637479,59.46100000000001,19.679,0.010357475134397848,0.04030794150929075,0.04323204727236029,10.82,0.026919573912039592,276805.4328358209,0.5012495143587498,0.9210432113790434,536633.671641791,335745.58208955225,80187.38805970151,670.9402985074628,1179.44776119403,723478.3880597015,0.2774983763623388,31357208.0,265030.01492537314,321.1492537313432,468018.02985074633,104281.5671641791,387732.80597014923,17757011.0,0.28319164566503346,508.5074626865672,150893.0447761194,1.0
u10,10748.571000000002,0.1102,66.0,510.74513274336283,408.6358542932026,0.21531001916480247,459.429,0.21622717320784146,0.9179898885866881,0.026938813876856524,0.21371696867153608,0.1696,14.93,27.651,33.84,0.0287,0.5641943947693163,0.0304,0.5448072602226532,0.0007,0.03816962013698028,0.01,1644.2229437229435,697.7801577801746,0.0482,575.0833333333334,4430.0,0.0983,27.0,4430.0,5.8210000000000015,0.97,0.0743,62.62,0.1036,0.013199749375966794,69.938,0.1891,0.0369,0.009079058618021869,53.653,24.241,0.010761149416529095,0.035607116526313584,0.04187154816048879,9.73,0.024631480968821392,98330.55223880598,0.5243150400922063,0.925470422920968,11337.776119402983,11176.69696969697,28518.28358208956,16.833333333333332,33.73134328358209,17228.119402985074,0.22208863655914765,11188410.0,75202.85074626865,6.8955223880597005,166991.19402985074,37104.432835820895,6312.454545454545,5038591.0,0.2398827206125441,17.40909090909091,39772.73134328358,0.0
u12,25302.2,0.1609,78.0,556.3448502796973,505.00191536987916,0.2433218718597996,152.295,0.2384135321492912,0.91989582758811,0.026816347028188067,0.24514628083296625,0.1252,11.358,18.057,181.58,0.0202,0.5341040681863697,0.0358,0.5190132966937624,0.184,0.038458131860939535,0.14,1564.9767060367456,651.3008306539683,0.0603,170.7948717948718,5812.0,0.1563,396.0,6151.0,7.939,4.17,0.0195,61.423,0.1338,0.012554685747413832,73.541,0.2025,0.0993,0.008961392395200841,62.053,18.52,0.01042011571648314,0.03691731787275252,0.04073313963628821,20.52,0.025711594139168088,53945.82089552238,0.5052621847962759,0.924936708711796,71194.76119402985,55076.97014925373,18710.0,96.34328358208955,181.43283582089558,100939.223880597,0.22074965098066412,6200443.0,43384.02985074627,45.49253731343283,92543.92537313432,25314.716417910447,45862.253731343284,2906730.0,0.23766483144643802,85.08955223880595,22963.611940298506,1.0
u13,41297.455,0.0653,79.0,527.8815637065637,483.2374919160785,0.2287520282344976,3587.042,0.22582288276471466,0.9201629409523512,0.02691337610858767,0.2296505161082077,0.0868,319.44,24.374,95.9,0.0167,0.5455567657615639,0.0078,0.5350229594974601,0.0278,0.0380651074137764,0.08,1520.2778229082046,628.1610941755055,0.0225,647.4240506329114,5857.0,0.0329,596.0,6006.0,13.027,4.86,0.0581,51.975,0.0372,0.01249663549458715,68.707,0.1703,0.0466,0.008887329095580897,182.256,18.266,0.010351158582529229,0.03646679721832827,0.04042704744447412,23.651,0.025745415563425102,72806.07462686568,0.5263342382306709,0.9253436379476886,55864.53731343283,43090.925373134334,22369.5223880597,85.51515151515152,154.62686567164178,81624.67164179105,0.2247927181302284,8307019.0,55955.44776119403,36.74626865671642,123985.35820895525,30643.940298507467,39117.59090909091,3749015.0,0.2362250122680423,70.38805970149255,30750.76119402985,0.0
u14,14767.619,0.1145,83.0,648.2303226070245,586.1489291544318,0.23357472928002376,944.209,0.24385369971078955,0.9182027598218264,0.02654112838022234,0.2245253817340341,0.1095,49.756,17.754,39.84,0.002,0.5265907976902617,0.0106,0.4989652817672818,0.1192,0.03926892029139043,0.01,1687.31196400956,724.1918478800916,0.0248,375.68674698795184,3694.0,0.0946,111.0,3694.0,34.526,1.15,0.0372,60.897,0.0569,0.01298479339663617,45.652,0.1746,0.029,0.00908070639566742,44.474,19.822,0.010675139442726385,0.037198969710599016,0.04227131840131534,21.348000000000006,0.02434810673625411,124510.61194029848,0.4687230496150628,0.9247890901837368,179132.08955223882,120761.82089552238,44037.805970149246,197.64179104477608,365.02985074626883,236623.4179104477,0.2488838205757041,14041509.0,113545.0447761194,106.1641791044776,209574.76119402985,53098.13432835821,115861.59701492536,7607518.0,0.2674599889526945,167.38805970149255,60064.13432835821,1.0
u15,9134.1,0.0292,77.0,598.5955818022748,536.8222360457708,0.23189157293065826,150.361,0.2432086669424353,0.9149922644552622,0.02704474392794678,0.22224299387163649,0.0684,9.666,16.641,35.85,0.0038,0.5277264197664974,0.0126,0.4986064507097821,0.0059,0.040095077324380016,0.14,1628.227724781815,681.496641336327,0.0117,135.12337662337663,1700.0,0.0189,88.0,1698.0,10.715,6.05,0.0178,64.786,0.0448,0.01375498864201162,59.67100000000001,0.0444,0.0287,0.00928077207078405,29.117,29.614,0.011126307815743102,0.03724005498502368,0.04420800297477917,18.573,0.02444646187647428,130233.35820895525,0.4665348787349344,0.923242873645248,119735.49253731346,86971.34328358209,46067.97014925373,144.7761194029851,272.95522388059703,163389.79104477612,0.25003058636186604,14669861.0,119704.74626865672,73.5373134328358,218953.14925373133,54699.13432835821,76418.44776119402,8020218.0,0.2695019763595597,128.17910447761193,62973.9552238806,1.0
u16,8722.955,0.1127,86.0,589.2235386017446,541.2990721806945,0.2113643405125752,376.812,0.2222606174953029,0.9164892364384848,0.026635788674178883,0.2026017363736647,0.1576,23.972,16.483,32.26,0.013,0.5406665620115033,0.0223,0.5193484790392979,0.0703,0.039086794697582514,0.02,1627.756622926467,671.3652746336884,0.0364,287.20930232558135,5795.0,0.0991,95.0,5795.0,22.599,1.63,0.059,76.741,0.0915,0.01312755511054372,50.299,0.1388,0.0431,0.008736901942254167,39.188,27.102,0.010548683315002857,0.035836862184767566,0.04374741977679263,6.776,0.02386852319122897,183748.67164179106,0.494762159583731,0.9253307165622436,98127.0,69427.10447761194,56335.253731343284,124.59701492537312,229.28358208955228,135099.28358208956,0.2567317016148322,20732071.0,163060.53731343284,60.28358208955224,309433.89552238805,68986.02985074627,65672.17910447763,10925056.0,0.26928718044812683,104.68656716417914,89263.89552238806,0.0
u17,15728.25,0.1015,74.0,592.2906671440505,538.1332442871652,0.2251005540044664,246.439,0.2348624962171103,0.9161487999943893,0.0269736511376127,0.2169910851108044,0.1826,15.425999999999998,32.01,36.79,0.018000000000000002,0.5252865101297769,0.0406,0.5007104866027378,0.0821,0.03907215922227613,0.01,1629.636466080685,672.7778913209997,0.0656,615.0878378378377,6346.0,0.0975,54.0,6346.0,8.888,0.91,0.04,44.659,0.1856,0.013276412562493107,69.418,0.1695,0.0455,0.008886019523582506,74.807,21.694000000000006,0.010698111998686291,0.03590972471643298,0.043601136305504856,23.332,0.02403610518965017,150783.58208955225,0.4731874550844149,0.9249598330067516,107920.85074626864,77825.44776119402,51303.16417910448,133.58208955223878,250.11940298507463,148143.38805970148,0.2577224047594188,17037401.0,141814.23880597015,66.22388059701493,254289.5671641791,62425.208955223876,70317.94029850746,9501554.0,0.2741889593927958,116.53731343283579,75993.34328358209,0.0
u18,12406.048,0.0756,69.0,602.2296169890028,558.0988193895797,0.20956584285962834,752.5,0.21703108230447232,0.9179687335241379,0.02644464339767997,0.2036149507517723,0.1124,49.525,20.07,48.61,0.0054,0.5270868833104204,0.0055,0.5142848499425465,0.0603,0.041321646204090096,0.08,1671.239678005713,655.7300616729261,0.0453,377.4492753623188,3412.0,0.0644,287.0,3412.0,6.872999999999998,4.0,0.0474,68.419,0.0916,0.013585175255540536,69.14,0.1174,0.0433,0.009765083327983629,47.672,23.987,0.011319071058337543,0.04097492658297722,0.04200144782264128,11.511,0.026565583851372244,237413.94029850746,0.5001225153587046,0.920837405228096,384235.46268656716,247076.0149253732,71037.49253731343,490.53731343283584,865.8805970149252,521458.9402985074,0.26929816593780764,26898198.0,220864.52238805967,229.91044776119404,401465.6417910448,92628.88059701493,274382.9253731343,14797923.0,0.2761493071978252,375.3432835820896,125196.89552238805,0.0
u19,18625.0,0.0608,64.0,599.7019293225427,556.5789723958078,0.2058416112118199,478.366,0.21277329954311325,0.9189703220229406,0.02601977498976455,0.20028018171303888,0.1085,26.291,20.29,31.29,0.0179,0.5315183938041099,0.0196,0.5186285629840867,0.012,0.040940478536034136,0.06,1670.0285752259435,652.4699348970134,0.0466,841.5859375,4451.0,0.0492,147.0,4446.0,16.642,4.03,0.0591,65.078,0.0908,0.012708496152977576,58.456,0.2831,0.0649,0.009175337170794095,67.311,24.902,0.010614823149390565,0.04007829115564498,0.042301406834317434,14.632,0.026098945504773426,249227.8656716418,0.5043223231618087,0.9223612513487732,375083.43283582095,241740.1343283582,72973.10447761194,480.8955223880597,850.1940298507463,509863.0,0.2682014244828512,28265260.0,230219.1791044776,224.59701492537314,421869.55223880603,95052.62686567164,268122.8656716418,15424685.0,0.2755298258040935,369.2985074626866,130024.0895522388,0.0
u20,11013.55,0.0671,63.0,610.5626667728702,568.72147370737,0.19829164823807452,231.829,0.2051162551603907,0.9203538087132608,0.02618564180706808,0.1929875294645856,0.0766,20.134,25.238000000000003,26.51,0.0091,0.5325765449273587,0.006,0.5226205095229804,0.0258,0.03987191390833216,0.02,1674.333546451581,657.9642451539928,0.0137,341.7301587301588,2560.0,0.0429,273.0,2560.0,2.835,2.4,0.0186,58.4,0.0788,0.0119955595029083,86.24600000000002,0.0805,0.034,0.008647783389245945,60.832,10.919,0.010015159921225435,0.03879543874099289,0.0414649899767631,16.362000000000002,0.025874318823401663,302541.44776119397,0.5114201674570186,0.9241042368681162,508122.7462686568,318590.9701492537,84056.80597014926,642.9253731343282,1124.2835820895523,686445.5820895522,0.2744359256080557,34291128.0,281513.37313432834,303.4776119402985,511807.8805970149,110744.19402985074,367854.6119402985,18861396.0,0.2790878422389449,481.35820895522386,161415.62686567163,0.0
u22,20380.1,0.1049,75.0,613.6974325549762,571.6967736793893,0.1970234141261632,159.933,0.2024810673178296,0.920273706903172,0.026671047255875702,0.1928155488881157,0.1226,9.28,27.161,32.44,0.0014,0.5333250023215993,0.0175,0.5267389783981345,0.0481,0.03968544878744743,0.03,1686.3009713835654,662.0021465625098,0.006999999999999999,805.5333333333333,3527.0,0.1118,202.0,3516.0,7.7120000000000015,2.04,0.0478,50.309,0.114,0.012151108615479337,70.55,0.1992,0.0379,0.008907585894774963,73.34899999999998,21.738000000000003,0.01022577942333686,0.038873828361835186,0.0409041372254728,22.529,0.0262796753122632,334277.89552238805,0.5200391758065747,0.9236249522258376,479337.34328358213,303147.14925373136,90099.29850746268,597.9104477611942,1053.3731343283582,646452.3880597015,0.2738594487902848,37885881.0,305163.71641791053,284.2537313432836,565460.9104477612,121908.46268656715,343305.2388059702,20445969.0,0.2762376074757025,455.46268656716416,177493.61194029852,1.0
u23,6278.2,0.2083,60.0,619.6928189717703,575.9723048790737,0.19627230678785013,327.37,0.20240410460608213,0.9206464100476726,0.026477444419378843,0.1915784053881809,0.07200000000000001,34.663000000000004,23.578000000000007,26.41,0.0975,0.536999058163709,0.0659,0.5291811666261129,0.0307,0.038805814549256835,0.13,1692.5314518317505,669.5279893005768,0.0513,233.19166666666663,2076.0,0.1997,812.0,2076.0,6.539,16.18,0.1492,55.993,0.1415,0.012320052561795072,79.443,0.0526,0.027000000000000003,0.009074738802293794,46.471,14.017,0.010391287661744016,0.037640525066859,0.04055609297115316,20.429,0.02580821562463221,344203.28358208947,0.5206544311339939,0.924703467487972,465446.1492537314,294061.65671641787,92520.83582089553,571.7313432835822,1008.2537313432837,624807.5970149253,0.27142253644811004,39007148.0,310478.5671641791,275.0,582196.2388059702,123742.14925373135,330745.94029850746,20802064.0,0.2745465265860369,436.5223880597016,179684.05970149254,0.0
u24,6052.75,0.0637,66.0,604.5837425078731,560.4006640375935,0.2083617147412124,244.276,0.2145997743258989,0.9163200583602574,0.026964397631278333,0.20324313490280813,0.0562,21.864,15.635,45.33,0.0248,0.5308010993910961,0.0103,0.5182456993802333,0.0388,0.04229474472785715,0.03,1675.7449459631275,656.488718626066,0.0241,216.3030303030303,2121.0,0.0567,26.0,2125.0,7.256,1.3,0.006,65.578,0.0339,0.014173212254301275,72.685,0.0975,0.0281,0.010334507189102593,29.404,20.059,0.011891072034008745,0.04225936222383778,0.04254233175416277,18.787,0.02743959313382724,217942.73134328358,0.5046499370111533,0.9185672670333148,393424.8955223881,251227.89552238805,64056.62686567164,500.8955223880597,881.5223880597015,532954.1044776121,0.26595576570609564,24704879.0,198944.19402985074,234.77611940298507,368729.53731343284,83944.44776119402,281726.2089552239,13329261.0,0.2733925858785541,380.6268656716418,112484.61194029848,0.0
u27,4968.25,0.0563,56.0,622.6083366043662,578.8732406434376,0.208315237849106,353.545,0.21632600614099184,0.9172574887857124,0.02628917159358771,0.20181772724649708,0.0697,14.639,24.155,28.32,0.0008,0.5388220053417861,0.0096,0.5222941506510491,0.0678,0.03974266511237251,0.01,1697.1215731700588,673.49749229308,0.0283,430.4196428571428,4410.0,0.1238,32.0,4410.0,15.18,0.62,0.0412,66.085,0.0839,0.015354104970939631,62.74100000000001,0.1259,0.0546,0.011080318330631058,30.285,22.079,0.012812295820608914,0.03895877078472376,0.04109923464976024,9.76,0.026972763289537603,203230.4328358209,0.5037234240489553,0.9207630887928824,459210.7014925373,288698.37313432834,59910.62686567164,562.5970149253732,988.6268656716417,615527.328358209,0.2593602674117169,22972864.0,179874.76119402985,270.5820895522388,342878.5671641791,76266.94029850746,326828.9552238806,12051609.0,0.2693906114998447,426.02985074626883,100041.73134328358,0.0
u30,44151.05,0.1146,74.0,615.365446549723,570.5879329917346,0.21274953789103834,1234.772,0.21953093974890486,0.9151996884827536,0.027639496547253287,0.20724432070476176,0.1561,48.24,20.145,45.7,0.005,0.5227938595737764,0.0176,0.5104170203330971,0.1834,0.04235213277969064,0.06,1683.2976254884281,667.4253488034416,0.0528,929.8648648648648,3795.0,0.0862,52.0,3795.0,9.816,1.66,0.0083,69.042,0.1274,0.014091028432175346,67.155,0.2236,0.0186,0.010302656069595876,32.454,23.029,0.01183871066675925,0.04200340077475096,0.04306978653781772,10.813,0.027894718925524743,227204.5820895523,0.4969511036710981,0.9180147986387172,417935.16417910455,265038.74626865675,69391.59701492537,518.1641791044776,912.9701492537314,561810.2835820896,0.26996181972146194,25756775.0,213571.5671641791,248.28358208955228,384429.4776119403,91000.05970149254,296771.53731343284,14309295.0,0.2768334417758648,394.8059701492537,121149.29850746268,1.0
u31,14463.174,0.0506,56.0,593.5345483418272,553.4049989135897,0.20390773970096607,330.6,0.21132650501136704,0.9181682499147142,0.02716088147948711,0.19799963013876776,0.0602,34.54,17.14,79.11,0.0367,0.5325301956536121,0.0727,0.5196872344838838,0.0561,0.04094991378500969,0.31,1656.9640495286335,645.5905381521168,0.0606,297.0267857142857,3896.0,0.0745,254.0,3949.0,16.023,5.87,0.0445,56.753,0.0701,0.01251293930743512,61.499,0.1089,0.0495,0.009145528986770237,43.822,22.479,0.010519817696705736,0.040169941292544836,0.04215792929836372,26.107,0.027124667333586483,260810.53731343284,0.505361846630786,0.9213647361906466,351523.6865671642,226538.38805970148,75572.71641791044,457.41791044776113,808.2985074626863,479753.0895522388,0.2694701742076201,29561779.0,241155.74626865672,212.1492537313433,441220.58208955225,98065.5223880597,253214.7014925373,16157435.0,0.2764050258151501,350.8805970149254,136431.77611940302,0.0
