,High strength of wifi level,Light duration during afternoon,Frequency of wifi,Light duration during evening,Phonelock duration during afternoon,Low strength of wifi level,Wifi times of gps_network_type,Network times of gps provider,Phonecharge duration during morning,Average frequency of changing building,Phonelock duration during evening,Bluetooth class,Phonecharge duration during afternoon,Phonelock duration during night,Low strength of bluetooth level,Medium strength of bluetooth level,The frequency of changing building,Positive
u44,12.86,0.0741,11217.524,0.0104,0.1523,77.381,3824.0,3824.0,0.0354,201.26851851851848,0.0524,346.281,0.0206,0.1465,60.166,18.654,54.0,1.0
u45,17.404,0.0813,24780.05,0.0113,0.1023,68.796,1868.0,1868.0,0.0494,288.3888888888889,0.0728,183.424,0.0098,0.07,58.38399999999999,23.344,72.0,0.0
u46,18.466,0.1761,17613.476000000002,0.037000000000000005,0.1505,56.183,3685.0,3726.0,0.0231,542.0529411764705,0.0482,718.1139999999998,0.1444,0.0347,52.882,34.051,85.0,1.0
u47,9.113,0.0466,7145.632,0.0046,0.0683,73.525,3203.0,3348.0,0.0607,114.44852941176471,0.0089,331.821,0.0309,0.047,59.143,27.317,68.0,1.0
u49,17.891,0.0209,22965.107000000004,0.0323,0.1076,59.618,3359.0,3402.0,0.0974,976.5843373493976,0.0799,3839.792,0.0647,0.1161,46.995,18.194000000000006,83.0,1.0
u50,22.184,0.0904,18210.25,0.0077,0.0488,49.43600000000001,2739.0,2743.0,0.035,571.3039215686274,0.0072,902.4,0.0034,0.0694,66.046,17.472,51.0,0.0
u51,23.597,0.1292,18445.087,0.0103,0.2616,53.462,5882.0,6218.0,0.004,329.11392405063293,0.0288,758.449,0.2014,0.2268,52.414,24.012,79.0,0.0
u52,12.37,0.1538,151418.545,0.0137,0.1951,71.605,4391.0,4481.0,0.0299,7316.088235294117,0.0607,491.721,0.0905,0.1095,80.893,12.254,51.0,1.0
u53,15.285,0.0859,35303.8,0.0126,0.1754,62.764,3653.0,3653.0,0.0246,526.7266666666667,0.0428,302.949,0.0673,0.1662,74.795,19.272,75.0,1.0
u56,16.445999999999998,0.0471,13101.2,0.0201,0.0997,68.007,3313.0,3511.0,0.0044,147.36428571428573,0.0231,132.94299999999998,0.0735,0.1188,71.911,25.317,70.0,0.0
u57,12.678,0.2501,28505.286,0.0148,0.2473,68.805,4749.0,4867.0,0.0459,1337.59375,0.0517,1370.696,0.2077,0.0879,86.272,10.691,80.0,1.0
u58,22.035,0.1114,19030.5,0.0269,0.2216,55.887,5710.0,5748.0,0.0156,445.7132352941177,0.0325,95.289,0.1618,0.1552,68.983,23.834,68.0,0.0
u59,13.905,0.1677,27778.15,0.0273,0.1485,68.97,5436.0,5713.0,0.0831,1139.8666666666666,0.0252,205.867,0.1711,0.0565,97.938,0.6579999999999999,75.0,1.0
