,Frequency of wifi,Phonelock duration during morning,The frequency of changing building,Average duration of each conversation,Average duration of each conversation during day,Daily average audio_2 ratio,Bluetooth class,Daily average audio_2 ratio during night,Daily average activity_0 ratio during night,Daily average activity_3 ratio during night,Daily average audio_2 ratio during day,Phonelock duration during night,Total counts of bluetooth mac address,Medium strength of wifi level,Average accuracy,Phonecharge duration during evening,Daily average audio_0 ratio during day,FlourishingScale
u27,4968.25,0.0563,56.0,622.6083366043662,578.8732406434376,0.208315237849106,353.545,0.21632600614099184,0.9172574887857124,0.02628917159358771,0.20181772724649708,0.0697,14.639,24.155,28.32,0.0008,0.5388220053417861,0.0
u30,44151.05,0.1146,74.0,615.365446549723,570.5879329917346,0.21274953789103834,1234.772,0.21953093974890486,0.9151996884827536,0.027639496547253287,0.20724432070476176,0.1561,48.24,20.145,45.7,0.005,0.5227938595737764,1.0
u31,14463.174,0.0506,56.0,593.5345483418272,553.4049989135897,0.20390773970096607,330.6,0.21132650501136704,0.9181682499147142,0.02716088147948711,0.19799963013876776,0.0602,34.54,17.14,79.11,0.0367,0.5325301956536121,0.0
u32,28294.55,0.121,79.0,622.2139915087764,580.0764511536104,0.2089713074887333,1038.976,0.21610545728505204,0.9170701536014564,0.026346439831351275,0.20320219086721653,0.1625,51.75899999999999,15.061,36.4,0.0007,0.5337895154110975,1.0
u33,9193.429,0.063,77.0,628.2555368131698,587.4280186816245,0.21136371124507067,164.412,0.2213162997355299,0.9186630071407212,0.025454107235685586,0.2034153275297422,0.0497,14.482,19.648,34.84,0.0286,0.5365577423787814,0.0
u34,13402.75,0.0349,72.0,612.8087916526422,570.9619157773324,0.1994461827356429,169.0,0.206185564879493,0.9193201272549244,0.027548164352986258,0.19417053764636075,0.0382,15.268,11.632,34.45,0.0,0.5302013244862545,0.0
u35,12160.7,0.0781,63.0,609.1990775725043,567.625782263515,0.1997641650404551,362.424,0.207305244783564,0.9186351663086584,0.026873401393302715,0.19388382754371672,0.0963,35.701,11.248,35.59,0.0,0.5306765293725693,1.0
u36,45790.05,0.1156,86.0,614.1535837160089,571.9373158613273,0.19683186424221952,2378.222,0.2027535828408835,0.9194300362381108,0.02710460349137707,0.19229077559636998,0.1396,242.767,19.194000000000006,209.74,0.013,0.5322002636873561,1.0
u39,3650.4,0.0082,40.0,510.2164948453608,495.9926696794239,0.22041029404528686,147.583,0.2191472055888154,0.92117512814888,0.026453861583855643,0.22027967625475928,0.0097,37.681,5.121,53.62,0.0,0.5548307582239419,0.0
u42,31540.6,0.0556,69.0,602.4385276122526,559.8379747196353,0.1878129332831424,165.97299999999996,0.19175156366025373,0.9203896506316582,0.026175934523971347,0.18484520953783165,0.0582,16.332,17.371,34.2,0.0,0.5454677520279819,0.0
u43,9712.095,0.0501,69.0,602.4623699775648,560.9000712097364,0.1912586828899571,160.04399999999995,0.1949883502322408,0.9173585110894432,0.027011097292398683,0.1884385402702919,0.1107,11.692,19.863,40.75,0.0,0.5407523076596006,0.0
u44,11217.524,0.0857,54.0,597.2562723172338,548.9556405690789,0.1918169628284357,346.281,0.1982360731238518,0.961981390990254,0.010731545412276841,0.18691471221030267,0.1465,34.413000000000004,9.759,44.19,0.0127,0.5444385820454138,0.0
u45,24780.05,0.0767,72.0,614.1594350459483,566.9046763193184,0.19143587108840865,183.424,0.19801138565117146,0.9277466359087408,0.027308459940961767,0.18644369829888136,0.07,18.682,13.8,40.17,0.0,0.5440353809679453,1.0
u46,17613.476000000002,0.0316,85.0,621.8039410015741,576.5265599890872,0.1890871718294176,718.1139999999998,0.19274559186220386,0.9325745295524436,0.02340412494611455,0.1863314313714717,0.0347,31.315,25.351,57.18,0.0184,0.5439525009378852,0.0
u47,7145.632,0.0447,68.0,616.1325266984776,571.3469945599599,0.1906962398648995,331.821,0.19734836333454767,0.9372282717458452,0.022831356615628517,0.1856551994677024,0.047,31.928,17.362000000000002,151.79,0.0,0.5474662138249939,1.0
u49,22965.107000000004,0.0923,83.0,617.7851111603047,560.0435509754664,0.2679575849693574,3839.792,0.25722000750868546,0.9098996394448484,0.029122130050765107,0.27428428566692153,0.1161,156.593,22.491,55.65,0.0448,0.5105963886074878,1.0
u50,18210.25,0.078,51.0,602.0296353875676,552.6412493214992,0.19435240729507927,902.4,0.2007023112952737,0.9571916765881264,0.01886787819569476,0.18949763762785912,0.0694,118.218,28.38,36.85,0.0,0.5400696045348929,1.0
u51,18445.087,0.1535,79.0,606.3989562624254,558.5636167709183,0.19066663449628,758.449,0.19744092734209626,0.9284596709186692,0.022586527124604846,0.18554095358793413,0.2268,89.76799999999999,22.94,178.83,0.0012,0.5464560887672065,0.0
u52,151418.545,0.1443,51.0,614.0166054507855,558.4586922488371,0.18690018258855426,491.721,0.19302366248858369,0.919223517024418,0.026162833104304364,0.18234378567809947,0.1095,26.596,16.025,69.56,0.0045,0.5505441899119313,0.0
u53,35303.8,0.118,75.0,613.5359967606964,566.4838972411561,0.18870300604171444,302.949,0.19490826777356146,0.936744566550986,0.023403309944224952,0.1839865952197646,0.1662,37.627,21.951,27.48,0.004,0.5483748722808004,1.0
u56,13101.2,0.0724,70.0,599.9809693610589,561.2095225122284,0.18840685819405129,132.94299999999998,0.19171373378736772,0.9193588326447644,0.02586802338075716,0.1858946681014285,0.1188,15.667,15.547,165.34,0.0154,0.5453346602887333,1.0
u57,28505.286,0.0513,80.0,602.4492272563903,560.104636159012,0.19134104598335874,1370.696,0.19412976759720613,0.9123123622165318,0.02858914707643047,0.1891849753074437,0.0879,81.992,18.518,71.35,0.0105,0.5398414133549327,1.0
u58,19030.5,0.1438,68.0,659.1099559403262,605.5320161540885,0.3002349922856966,95.289,0.2863610701713312,0.9092925939198521,0.02952967820312889,0.30868349258807665,0.1552,12.393,22.077,55.26,0.0136,0.4698224308753505,1.0
u59,27778.15,0.0321,75.0,622.8987616409094,563.8190023042196,0.3669138852799485,205.867,0.3521733227698248,0.9086250916229996,0.029703361052309318,0.3825453819731284,0.0565,13.994000000000002,17.125,158.19,0.0208,0.4473922658944859,1.0
